BUDGET FISCAL YEAR,DEPARTMENT NAME,FUND NAME,ACCOUNT NAME,ADOPTED BUDGET AMOUNT,TOTAL EXPENDITURES,BUDGET CHANGE AMOUNT,BUDGET TRANSFER IN AMOUNT,BUDGET TRANSFER OUT AMOUNT,TOTAL BUDGET,ENCUMBRANCE AMOUNT,PRE-ENCUMBRANCE AMOUNT,BUDGET UNCOMMITTED AMOUNT,ACCOUNT GROUP NAME,FUND,ACCOUNT
2019,TRANSPORTATION,TRANSPORTATION REVIEW FEE FUND,TRANSPORTATION,0.00,178720.91,178720.91,0.00,0.00,178720.91,0.00,0.00,0.00,,50Y,94R194
2022,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,BOARD OF PUBLIC WORKS,0.00,10025.00,10025.00,0.00,0.00,10025.00,0.00,0.00,0.00,,59C,94V174
2020,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,OPEN STREETS PROGRAM,1500000.00,770000.00,-730000.00,0.00,0.00,770000.00,14180.00,0.00,0.00,SPECIAL,59C,94SD10
2021,TRANSPORTATION,COASTAL TRANSP CORRIDOR TRUST,REIMBURSEMENT OF GENERAL FUND COSTS,570950.00,298062.48,-272887.52,0.00,0.00,298062.48,0.00,0.00,0.00,SPECIAL,447,94299T
2024,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,MATCHING FUNDS - MEASURE R PROJECTS/LRPT/30-10,25000000.00,0.00,0.00,0.00,0.00,25000000.00,0.00,0.00,25000000.00,SPECIAL,385,94YA29
2017,TRANSPORTATION,TRANSPORTATION REVIEW FEE FUND,ENHANCEMENT COSTS-DEVELOPMENT REVIEW,0.00,28372.01,28417.49,0.00,0.00,28417.49,425.00,0.00,45.48,,50Y,94NY01
2016,TRANSPORTATION,ATSAC TRUST,ATSAC IMPROVEMENTS,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,484,94MU06
2023,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,ATSAC SYSTEMS MAINTENANCE,3000000.00,0.00,0.00,0.00,0.00,3000000.00,0.00,0.00,3000000.00,SPECIAL,51Q,94W634
2014,TRANSPORTATION,TRANSP REGULATION &ENFORCEMENT,INFORMATION TECHNOLOGY AGENCY,0.00,1558.07,1558.07,0.00,0.00,1558.07,0.00,0.00,0.00,,596,94K132
2016,TRANSPORTATION,ATSAC TRUST,HANJIN-CEN09-5080 WILSHIRE-GRAND REDEVELOPMENT PROJ,0.00,30523.42,808015.00,0.00,0.00,808015.00,0.00,0.00,777491.58,,484,94MU02
2017,TRANSPORTATION,PERMIT PARKING PROG REV FD,TRANSPORTATION,977429.00,862203.19,0.00,0.00,0.00,977429.00,0.00,0.00,115225.81,,49C,94N194
2016,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),CONSTRUCTION EXPENSE,4560.00,4197.51,0.00,0.00,0.00,4560.00,0.00,0.00,362.49,EXPENSES,100,003030
2013,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,CITY ADMINISTRATIVE OFFICER,57766.00,55352.60,-2413.40,0.00,0.00,55352.60,0.00,0.00,0.00,,540,94J110
2020,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,LA NEIGHBORHOOD INITIATIVE,550000.00,550000.00,0.00,0.00,0.00,550000.00,0.00,0.00,0.00,,540,94S508
2021,TRANSPORTATION,SPECIAL PARKING REVENUE,BLOSSOM PLAZA EASEMENTS AND IMPROVEMENTS,146500.00,0.00,-146500.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,363,94TS12
2018,TRANSPORTATION,PERMIT PARKING PROG REV FD,TRAVEL & TRAINING,0.00,6955.48,10000.00,0.00,0.00,10000.00,0.00,0.00,3044.52,,49C,94P314
2021,TRANSPORTATION,WARNER CTR TRANS IMPROVE TRUST,TRANSPORTATION,267071.00,175728.93,-91342.07,0.00,0.00,175728.93,0.00,0.00,0.00,,573,94T194
2019,TRANSPORTATION,TRANSPORTATION GRANTS FUND,LANI-WEST BLVD COMM LINKAGES PROJECT-F7622 (CFP),0.00,0.00,1120600.00,0.00,0.00,1120600.00,0.00,0.00,1120600.00,,655,94RT0F
2020,TRANSPORTATION,SPECIAL PARKING REVENUE,"MAINTENANCE, REPAIR, & UTILITY SERVICE FOR OFF-STREET LOTS",2500000.00,1211914.88,-1066437.12,0.00,0.00,1433562.88,0.00,0.00,221648.00,SPECIAL,363,94S030
2016,TRANSPORTATION,COASTAL TRANSP CORRIDOR TRUST,CITY COUNCIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,447,94M128
2022,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,TRANSPORTATION TECHNOLOGY,0.00,0.00,957700.00,0.00,0.00,957700.00,0.00,0.00,957700.00,,59C,94VV72
2019,TRANSPORTATION,ATSAC TRUST,CULVER BLVD/SLAUSON AVE TRAFFIC SIGNAL (CTC 15-103607),0.00,0.00,250000.00,0.00,0.00,250000.00,0.00,0.00,250000.00,,484,94RU16
2017,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,AGING,399065.00,394190.24,-4874.76,0.00,0.00,394190.24,0.00,0.00,0.00,,385,94N102
2014,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,TECHNOLOGY AND COMMUNICATIONS EQUIPMENT,130000.00,44076.62,-85923.38,0.00,0.00,44076.62,0.00,0.00,0.00,,540,94K406
2014,TRANSPORTATION,SPECIAL PARKING REVENUE,PARKING FACILITIES LEASE PAYMENTS,360000.00,377500.00,17500.00,0.00,0.00,377500.00,0.00,0.00,0.00,,363,94K080
2021,TRANSPORTATION,WEST LA TRANSP IMPROV & MITIGA,WESTSIDE FAST FORWARD PHASE II TRAFFIC SIGNAL PROJ-WLA CD5,0.00,0.00,549800.00,0.00,0.00,549800.00,0.00,0.00,549800.00,,681,94TN32
2018,TRANSPORTATION,PERMIT PARKING PROG REV FD,TRANSPORTATION EQUIPMENT,0.00,164993.74,235000.00,0.00,0.00,235000.00,0.00,0.00,70006.26,,49C,94PB05
2020,TRANSPORTATION,MICLA LEASE REV COM PAPER NTES,TRAFFIC SIGNAL SAFETY PROJECTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,298,94SL02
2024,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,REIMBURSEMENT FOR MTA BUS PASS SALES,160127.00,0.00,0.00,0.00,0.00,160127.00,0.00,0.00,160127.00,SPECIAL,385,94Y419
2021,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,BUREAU OF ENGINEERING,1439998.00,1272869.25,80668.00,0.00,0.00,1520666.00,0.00,0.00,247796.75,,59C,94T178
2015,TRANSPORTATION,SPECIAL PARKING REVENUE,PARKING FACILITIES LEASE PAYMENTS,360000.00,360000.00,0.00,0.00,0.00,360000.00,0.00,0.00,0.00,,363,94L080
2016,TRANSPORTATION,WEST LA TRANSP IMPROV & MITIGA,CITY COUNCIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,681,94M128
2013,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,TRANSPORTATION GRANT FUND WORK PROGRAM,0.00,150000.00,150000.00,0.00,0.00,150000.00,0.00,0.00,0.00,,540,94J656
2012,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,GENERAL SERVICES,418000.00,381289.74,-36710.26,0.00,0.00,381289.74,0.00,0.00,0.00,,540,94H140
2012,TRANSPORTATION,LOCAL TRANSPORTATION,SAFETY EDUCATION,0.00,97655.75,97655.75,0.00,0.00,97655.75,0.00,0.00,0.00,,207,94H670
2014,TRANSPORTATION,LOCAL TRANSPORTATION,SHARROWS PAVEMENT MARKINGS,0.00,99756.66,99756.66,0.00,0.00,99756.66,0.00,0.00,0.00,,207,94K681
2017,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),SALARIES AS NEEDED,9197437.00,8270462.09,0.00,184150.00,145000.00,9236587.00,0.00,0.00,966124.91,SALARIES AND BENEFITS,100,001070
2017,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,DOWNTOWN LA STREETCAR OPERATIONS AND MAINTENANCE,6000000.00,0.00,0.00,0.00,0.00,6000000.00,0.00,0.00,6000000.00,SPECIAL,385,94NA12
2021,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),SALARIES GENERAL,129167115.00,126402027.03,-1598540.09,6500000.00,1243470.00,132825104.91,0.00,0.00,6423077.88,SALARIES AND BENEFITS,100,001010
2016,TRANSPORTATION,LOCAL TRANSPORTATION,PEDESTRIAN SAFETY PROGRAM,150000.00,149960.00,-40.00,0.00,0.00,149960.00,0.00,0.00,0.00,,207,94MD05
2019,TRANSPORTATION,BICYCLE PLAN TRUST FUND,BIKE IMPROVEMENTS IN HOLLYWOOD,0.00,29865.00,50000.00,0.00,0.00,50000.00,29865.00,0.00,20135.00,,55C,94RN17
2019,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,INSPECTION TRAVEL FLEET REP PROCUREMENT,15000.00,0.00,-15000.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,385,94R425
2019,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),OPERATING SUPPLIES,416117.00,162860.62,0.00,0.00,27195.00,388922.00,0.00,0.00,226061.38,EXPENSES,100,006020
2014,TRANSPORTATION,LOCAL TRANSPORTATION,BICYCLE FAC SUPPORT MATERIAL,0.00,14999.65,14999.65,0.00,0.00,14999.65,0.00,0.00,0.00,,207,94313K
2015,TRANSPORTATION,TRANSPORTATION GRANTS FUND,BLOSSOM PLAZA PROJECT,0.00,5353155.00,5353155.00,0.00,0.00,5353155.00,211438.02,0.00,0.00,,655,94L494
2015,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,ADVANCE PLANNING,400000.00,272055.68,-127944.32,0.00,0.00,272055.68,-0.00,0.00,0.00,,51Q,94L467
2016,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,BICYCLE PATH MAINTENANCE,700000.00,431463.64,-268536.36,0.00,0.00,431463.64,0.00,0.00,0.00,SPECIAL,540,94M992
2018,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,REIMBURSEMENT OF GENERAL FUND COSTS,2464306.00,1924288.80,-540017.20,0.00,0.00,1924288.80,0.00,0.00,0.00,SPECIAL,528,94299P
2015,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,GENERAL SERVICES,566633.00,569398.60,2765.60,0.00,0.00,569398.60,0.00,0.00,0.00,,540,94L140
2024,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,SENIOR CITYRIDE PROGRAM,3708000.00,0.00,0.00,0.00,0.00,3708000.00,0.00,0.00,3708000.00,,385,94Y599
2014,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRAFFIC ASSET MANAGEMENT SYSTEM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,385,94K407
2021,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,UNAPPROPRIATED BALANCE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,528,94158T
2021,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,FACILITY LEASE,600000.00,299000.00,0.00,0.00,0.00,600000.00,0.00,0.00,301000.00,SPECIAL,385,94TA23
2023,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,VISION ZERO BUS STOP SECURITY LIGHTING,495000.00,0.00,0.00,0.00,0.00,495000.00,0.00,0.00,495000.00,SPECIAL,385,94WA14
2023,TRANSPORTATION,COASTAL TRANSP CORRIDOR TRUST,REIMBURSEMENT OF GENERAL FUND COSTS,572266.00,347497.85,0.00,0.00,0.00,572266.00,0.00,0.00,224768.15,SPECIAL,447,94299W
2019,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),SALARIES AS NEEDED,7462437.00,6615494.54,0.00,0.00,0.00,7462437.00,0.00,0.00,846942.46,SALARIES AND BENEFITS,100,001070
2016,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,RESERVE FOR FUTURE TRANSIT SERVICE,148087843.00,0.00,-148087843.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,385,94M399
2024,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,ATSAC SYSTEMS MAINTENANCE,3000000.00,0.00,0.00,0.00,0.00,3000000.00,0.00,0.00,3000000.00,SPECIAL,51Q,94Y634
2019,TRANSPORTATION,SPECIAL PARKING REVENUE,HOLLYWOOD PARKING FACILITY - SPRF,0.00,41500.00,41500.00,0.00,0.00,41500.00,0.00,0.00,0.00,,363,94RS14
2018,TRANSPORTATION,ATSAC TRUST,INFORMATION TECHNOLOGY AGENCY,14000.00,14000.00,0.00,0.00,0.00,14000.00,0.00,0.00,0.00,,484,94P132
2020,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT OPERATIONS CONSULTANT,250000.00,238043.49,-11956.51,0.00,0.00,238043.49,44.22,0.00,0.00,SPECIAL,385,94S429
2012,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRAVEL-TRAINING,32000.00,1075.00,-30925.00,0.00,0.00,1075.00,0.00,0.00,0.00,,385,94H214
2021,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,UNAPPROPRIATED BALANCE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,528,94T158
2019,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,TRANSPORTATION,5738545.00,5789028.16,52648.41,0.00,0.00,5791193.41,0.00,0.00,2165.25,,51Q,94R194
2017,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,RAILROAD CROSSING PROGRAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,540,94N338
2017,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT BUREAU DATA MANAGEMENT SYSTEM,150000.00,48824.00,-101176.00,0.00,0.00,48824.00,0.00,0.00,0.00,SPECIAL,385,94N430
2022,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,ENGINEERING SPECIAL SERVICES,0.00,30000.00,30000.00,0.00,0.00,30000.00,0.00,0.00,0.00,SPECIAL,385,94V682
2013,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,STREET LIGHTING,1659343.00,1817910.61,158567.61,0.00,0.00,1817910.61,0.00,0.00,0.00,,540,94J184
2018,TRANSPORTATION,SPECIAL PARKING REVENUE,PARKING FACILITIES LEASE PAYMENTS,360000.00,360000.00,0.00,0.00,0.00,360000.00,0.00,0.00,0.00,SPECIAL,363,94P080
2012,TRANSPORTATION,TRANSPORTATION GRANTS FUND,WILMINGTON EMPOWER PROJECT,0.00,210987.03,210987.03,0.00,0.00,210987.03,0.00,0.00,0.00,,655,94H587
2021,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,TRANSPORTATION TECHNOLOGY STRATEGY,625000.00,0.00,-625000.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,59C,94TV34
2022,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,FACILITY LEASE,600000.00,0.00,0.00,0.00,0.00,600000.00,0.00,0.00,600000.00,SPECIAL,385,94VA23
2019,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,PW-STREET LIGHTING,160524.00,350011.97,189487.97,0.00,0.00,350011.97,0.00,0.00,0.00,,59C,94R184
2014,TRANSPORTATION,SPECIAL PARKING REVENUE,CAPITAL EQUIPMENT PURCHASES,6003758.00,2794408.70,-3209349.30,0.00,0.00,2794408.70,0.00,0.00,0.00,,363,94K040
2015,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,"TRANSIT OPERATIONS(DASH,COMM EXPRESS,CITYRIDE)",75240000.00,65666478.14,-9573521.86,0.00,0.00,65666478.14,-0.00,0.00,0.00,,385,94L431
2019,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT STORE,800000.00,787207.83,0.00,0.00,0.00,800000.00,0.00,0.00,12792.17,SPECIAL,385,94R420
2013,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),OPERATING SUPPLIES,75000.00,55049.57,0.00,0.00,0.00,75000.00,0.00,0.00,19950.43,EXPENSES,100,006020
2017,TRANSPORTATION,TRANSPORTATION GRANTS FUND,ANGELS WALK - BOYLE HEIGHT,0.00,639000.00,639000.00,0.00,0.00,639000.00,12300.00,0.00,0.00,,655,94NT49
2014,TRANSPORTATION,LOCAL TRANSPORTATION,BICYCLE PARKING,0.00,76734.30,76734.30,0.00,0.00,76734.30,0.00,0.00,0.00,,207,94K667
2024,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,FACILITY UPGRADES FOR ELECTRIFICATION,4295374.00,0.00,0.00,0.00,0.00,4295374.00,0.00,0.00,4295374.00,SPECIAL,385,94YA20
2014,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,CITY ADMINISTRATIVE OFFICER,57766.00,56924.12,-841.88,0.00,0.00,56924.12,0.00,0.00,0.00,,540,94K110
2022,TRANSPORTATION,TRANSP REGULATION &ENFORCEMENT,TRANSPORTATION,269025.00,0.00,0.00,0.00,0.00,269025.00,0.00,0.00,269025.00,,596,94V194
2022,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,CITYRIDE FARE CARD,2000000.00,663405.88,0.00,0.00,0.00,2000000.00,18930.64,0.00,1336594.12,SPECIAL,385,94VA28
2022,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRAVEL & TRAINING,50000.00,32285.83,0.00,0.00,0.00,50000.00,3181.36,0.00,17714.17,,385,94V314
2019,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,RESERVE FOR FUTURE TRANSIT SERVICE,61838923.00,0.00,-61838923.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,385,94R399
2014,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,PROJECT MATCH FUNDS,0.00,1758001.73,4435142.85,0.00,0.00,4435142.85,500.00,0.00,2677141.12,,51Q,94K491
2019,TRANSPORTATION,TRANSPORTATION GRANTS FUND,SLAUSON AVE IMPRV FRM CRENSHAW-VERMONT-F9204 (CFP),0.00,0.00,1567644.00,0.00,0.00,1567644.00,0.00,0.00,1567644.00,,655,94RT0H
2015,TRANSPORTATION,ATSAC TRUST,LAUSD-CEN07-4180- SOUTH LA NEW HS #3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,484,94L947
2012,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,REIMBURSEMENT OF GENERAL FUND COSTS,1983561.00,1834534.42,-149026.58,0.00,0.00,1834534.42,0.00,0.00,0.00,,528,94299H
2024,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,67TH ST STREET IMPROVEMENT PROJECT,438750.00,0.00,0.00,0.00,0.00,438750.00,0.00,0.00,438750.00,,59C,94YV85
2023,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,RIDE AND FIELD CHECKS,2000000.00,0.00,0.00,0.00,0.00,2000000.00,0.00,0.00,2000000.00,SPECIAL,385,94WA13
2017,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,PW-STREET LIGHTING,2125140.00,1763306.74,-361833.26,0.00,0.00,1763306.74,0.00,0.00,0.00,,540,94N184
2014,TRANSPORTATION,TRANSPORTATION GRANTS FUND,HOLLYWOOD PEDESTRIAN/TRANSIT CROSSROADS PH2 PROJECT,0.00,63254.04,508100.00,0.00,0.00,508100.00,0.00,0.00,444845.96,,655,94K769
2013,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,PARATRANSIT PGM COORDTR SVCS,1200000.00,861436.38,-338563.62,0.00,0.00,861436.38,-0.00,0.00,0.00,,385,94J241
2017,TRANSPORTATION,DEPT TRANSPORTATION TRUST,HIGHLAND PARK TILE MOSAIC PROJECT,0.00,12000.00,12000.00,0.00,0.00,12000.00,0.00,0.00,0.00,,840,94NE03
2012,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),SALARIES AS NEEDED,8051395.00,7637961.12,153000.00,326000.00,866590.42,7663804.58,0.00,0.00,25843.46,SALARIES AND BENEFITS,100,001070
2017,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,PW-ENGINEERING,161634.00,161634.00,0.00,0.00,0.00,161634.00,0.00,0.00,0.00,,385,94N178
2020,TRANSPORTATION,DEPT TRANSPORTATION TRUST,STREET LIGHT RELOCATION - CD14,0.00,0.00,80000.00,0.00,0.00,80000.00,0.00,0.00,80000.00,,840,94SE07
2013,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT FACILITY SECURITY AND MAINTENANCE,1100000.00,954546.56,-145453.44,0.00,0.00,954546.56,0.00,0.00,0.00,,385,94J427
2015,TRANSPORTATION,SPECIAL PARKING REVENUE,COLLECTION SERVICES,2863460.00,1673001.30,-1190458.70,0.00,0.00,1673001.30,0.00,0.00,0.00,,363,94L010
2014,TRANSPORTATION,TRANSP REGULATION &ENFORCEMENT,TRANSPORTATION,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,596,94J194
2012,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,BICYCLE PATH MAINTENANCE,500000.00,500000.00,0.00,0.00,0.00,500000.00,-0.00,0.00,0.00,,540,94H307
2018,TRANSPORTATION,WARNER CTR TRANS IMPROVE TRUST,TRANSPORTATION,262091.00,239899.54,-22191.46,0.00,0.00,239899.54,0.00,0.00,0.00,,573,94P194
2018,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSPORTATION GRANT MATCHING FUND,500000.00,0.00,-500000.00,0.00,0.00,0.00,0.00,0.00,0.00,,385,94PA17
2014,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,EXPOSITION BLVD BIKE PATH PHASE 2,2000000.00,0.00,-2000000.00,0.00,0.00,0.00,0.00,0.00,0.00,,540,94K801
2013,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,STREET SERVICES,28496543.00,24850181.39,-3646361.61,0.00,0.00,24850181.39,0.00,0.00,0.00,,540,94J186
2012,TRANSPORTATION,SPECIAL PARKING REVENUE,CAPITAL EQUIPMENT PURCHASES,9347000.00,7470420.97,-1876579.03,0.00,0.00,7470420.97,0.00,0.00,0.00,,363,94H040
2014,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,TRANSPORTATION,1165439.00,1406818.00,241379.00,0.00,0.00,1406818.00,0.00,0.00,0.00,,528,94194K
2023,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,ECO RAPID TRANSIT JPA,50000.00,0.00,0.00,0.00,0.00,50000.00,0.00,0.00,50000.00,SPECIAL,385,94WA16
2020,TRANSPORTATION,TRANSP REGULATION &ENFORCEMENT,ADMINISTRATIVE EXPENSE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,596,946601
2019,TRANSPORTATION,LOCAL TRANSPORTATION,EXPO BIKE PATH PHASE II NORTHVALE SEGMENT,1260000.00,0.00,0.00,0.00,0.00,1260000.00,0.00,0.00,1260000.00,SPECIAL,207,94R801
2019,TRANSPORTATION,DEPT TRANSPORTATION TRUST,REPAIR OF TRANSIT INFRASTRUCTURE ALONG THE S SEPULVEDA BLVD,0.00,18210.30,18500.00,0.00,0.00,18500.00,0.00,0.00,289.70,,840,94RE06
2018,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,TRANSPORTATION,0.00,186428.24,186428.24,0.00,0.00,186428.24,0.00,0.00,0.00,,59C,94P194
2021,TRANSPORTATION,TRANSPORTATION GRANTS FUND,2028 OLYMPIC LEGACY STREET IMPROVEMENTS PLAN,0.00,497148.00,497250.00,0.00,0.00,497250.00,0.00,0.00,102.00,,655,94TT2A
2021,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),TRANSPORTATION,140280.00,22250.31,0.00,0.00,0.00,140280.00,0.00,0.00,118029.69,EXPENSES,100,003310
2017,TRANSPORTATION,TRANSPORTATION GRANTS FUND,ANAHEIM STREET WIDENING FROM FARAGUTE TO DOMINGUEZ CHANNEL,0.00,424248.55,2600000.00,0.00,0.00,2600000.00,134717.10,0.00,2175751.45,,655,94NT60
2015,TRANSPORTATION,SPECIAL PARKING REVENUE,TRANSPORTATION GRANT FUND - MATCHING FUNDS,0.00,772905.00,772905.00,0.00,0.00,772905.00,0.00,0.00,0.00,,363,94L655
2015,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,AIR QUALITY EDUCATION AND OUTREACH,250000.00,150000.00,-100000.00,0.00,0.00,150000.00,0.00,0.00,0.00,,528,94266L
2022,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,INSPECTION TRAVEL FLEET REP PROCUREMENT,15000.00,0.00,0.00,0.00,0.00,15000.00,0.00,0.00,15000.00,SPECIAL,385,94V425
2014,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,BUS STOP SECURITY LIGHTING UNIT 19,495000.00,0.00,-495000.00,0.00,0.00,0.00,0.00,0.00,0.00,,51Q,94K688
2016,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSPORTATION GRANT FUND-MATCHING FUNDS,500000.00,0.00,-500000.00,0.00,0.00,0.00,0.00,0.00,0.00,,385,94M655
2013,TRANSPORTATION,VENTURA/CAHUENGA CORRIDOR PLAN,TRANSPORTATION,793825.00,233651.02,-560173.98,0.00,0.00,233651.02,0.00,0.00,0.00,,523,94J194
2015,TRANSPORTATION,TRANSPORTATION GRANTS FUND,HOLLYWOOD WESTERN PEDESTRIAN IMPROVMENTS,0.00,2485987.37,3923000.00,0.00,0.00,3923000.00,0.34,0.00,1437012.63,,655,94LT38
2024,TRANSPORTATION,SPECIAL PARKING REVENUE,CAPITAL EQUIPMENT PURCHASES,6890000.00,0.00,0.00,0.00,0.00,6890000.00,0.00,0.00,6890000.00,SPECIAL,363,94Y040
2019,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,PW-CONTRACT ADMINISTRATION,339941.00,261361.31,-78579.69,0.00,0.00,261361.31,0.00,0.00,0.00,,385,94R176
2019,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,BURWOOD S/O FIGUEROA,746000.00,746000.00,0.00,0.00,0.00,746000.00,0.00,0.00,0.00,,59C,94RV45
2021,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,NEVIN ELEMENTARY SCHOOL SAFE ROUTES TO SCHOOL - PHASE 2,140000.00,0.00,-140000.00,0.00,0.00,0.00,0.00,0.00,0.00,,59C,94TV53
2022,TRANSPORTATION,DEPT TRANSPORTATION TRUST,HUGHES & VENICE,0.00,0.00,333000.00,0.00,0.00,333000.00,0.00,0.00,333000.00,,840,94VE23
2013,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),SALARIES AS NEEDED,9451604.00,8347061.15,160000.00,0.00,921855.00,8689749.00,0.00,0.00,342687.85,SALARIES AND BENEFITS,100,001070
2015,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),PAINT AND SIGN MAINTENANCE AND,2461577.00,3376946.49,65174.00,931106.00,0.00,3457857.00,-0.00,0.00,80910.51,EXPENSES,100,003350
2017,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT OPERATIONS,76041000.00,75211813.64,-829186.36,0.00,0.00,75211813.64,-0.00,0.00,0.00,SPECIAL,385,94N431
2014,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,WATTS AREA DIAL-A-RIDE AREA 3B,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,540,94K245
